modelo,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
resnet18,0.9038461538461539,0.85,0.9267676767676768,0.85,0.8704278812974465,0.9122960372960373,0.9038461538461539,0.896898391463609
random_forest,0.8461538461538461,0.787878787878788,0.887878787878788,0.787878787878788,0.8063973063973063,0.8653846153846154,0.8461538461538461,0.8354700854700854
clip_embeddings,0.6730769230769231,0.5515151515151515,0.4480286738351254,0.5515151515151515,0.49179321981899066,0.543010752688172,0.6730769230769231,0.5979326701830154
clip_zero_shot,0.19230769230769232,0.3333333333333333,0.06410256410256411,0.3333333333333333,0.10752688172043011,0.03698224852071006,0.19230769230769232,0.06203473945409429
